"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3549","userCantDepositToNonExistAccount()","","Sun Jun 07 12:29:56 UTC 2026","passed","Sun Jun 07 12:29:59 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToNonExistAccount"
"","1594","userCanCreateAccountTest()","","Sun Jun 07 12:31:21 UTC 2026","passed","Sun Jun 07 12:31:23 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","2123","userCanDepositAccountTest()","","Sun Jun 07 12:30:05 UTC 2026","passed","Sun Jun 07 12:30:07 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","2659","userCanChangeNameTest()","","Sun Jun 07 12:30:16 UTC 2026","passed","Sun Jun 07 12:30:18 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","4948","userCantChangeNameWithoutEnterNameTest()","","Sun Jun 07 12:28:54 UTC 2026","passed","Sun Jun 07 12:28:59 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest"
"","346","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 12:31:13 UTC 2026","passed","Sun Jun 07 12:31:14 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","4228","testTransferWithFraudotricCheck()","","Sun Jun 07 12:29:45 UTC 2026","passed","Sun Jun 07 12:29:49 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudotricCheck"
"","345","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 12:31:14 UTC 2026","passed","Sun Jun 07 12:31:14 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","3499","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Sun Jun 07 12:31:01 UTC 2026","passed","Sun Jun 07 12:31:05 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","2224","userCanDepositMaxSumAccountTest()","","Sun Jun 07 12:29:59 UTC 2026","passed","Sun Jun 07 12:30:02 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","2248","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 12:30:18 UTC 2026","passed","Sun Jun 07 12:30:21 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2102","adminCanLoginWithCorrectDataTest()","","Sun Jun 07 12:29:26 UTC 2026","passed","Sun Jun 07 12:29:28 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"Покрытие Swagger Coverage: 403 Unauthorized для GET /users","2378","forbiddenGetUsersError()","","Sun Jun 07 12:31:14 UTC 2026","passed","Sun Jun 07 12:31:17 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenGetUsersError"
"","6101","testTransferWithFraudCheck()","","Sun Jun 07 12:29:39 UTC 2026","passed","Sun Jun 07 12:29:45 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","340","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 12:31:14 UTC 2026","passed","Sun Jun 07 12:31:14 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"Покрытие Swagger Coverage: 401 Unauthorized для customer/accounts","57","unauthorizedCustomerAccountsError()","","Sun Jun 07 12:31:21 UTC 2026","passed","Sun Jun 07 12:31:21 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedCustomerAccountsError"
"","2405","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Sun Jun 07 12:30:09 UTC 2026","passed","Sun Jun 07 12:30:12 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","4155","userCanTransferMaxSumTest()","","Sun Jun 07 12:30:46 UTC 2026","passed","Sun Jun 07 12:30:51 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMaxSumTest"
"","4803","adminCanCreateUserTest()","","Sun Jun 07 12:29:16 UTC 2026","passed","Sun Jun 07 12:29:21 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","14709","userCantDepositAccountWithoutAmountTest()","","Sun Jun 07 12:28:30 UTC 2026","passed","Sun Jun 07 12:28:44 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAmountTest"
"","2148","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 12:30:23 UTC 2026","passed","Sun Jun 07 12:30:25 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","7570","tearDownBackendData()","","Sun Jun 07 12:29:31 UTC 2026","passed","Sun Jun 07 12:29:39 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
