"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3839","userCanTransferMinSumTest()","","Sun Jun 07 12:19:21 UTC 2026","passed","Sun Jun 07 12:19:25 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMinSumTest"
"Покрытие Swagger Coverage: 401 Unauthorized для POST /users","21","unauthorizedPostUsersError()","","Sun Jun 07 12:19:27 UTC 2026","passed","Sun Jun 07 12:19:27 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedPostUsersError"
"","42","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 12:19:32 UTC 2026","passed","Sun Jun 07 12:19:32 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","6334","tearDownBackendData()","","Sun Jun 07 12:17:45 UTC 2026","passed","Sun Jun 07 12:17:51 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"","953","userCanLoginTest()","","Sun Jun 07 12:19:31 UTC 2026","passed","Sun Jun 07 12:19:32 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanLoginTest"
"","3744","testTransferWithFraudCheckForbidden()","","Sun Jun 07 12:18:06 UTC 2026","passed","Sun Jun 07 12:18:10 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckForbidden"
"","2153","userCanDepositMaxSumAccountTest()","","Sun Jun 07 12:18:11 UTC 2026","passed","Sun Jun 07 12:18:14 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","1525","userCantDepositToNonExistAccount()","","Sun Jun 07 12:18:10 UTC 2026","passed","Sun Jun 07 12:18:11 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToNonExistAccount"
"","2443","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Sun Jun 07 12:18:21 UTC 2026","passed","Sun Jun 07 12:18:24 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","5851","testTransferWithFraudCheck()","","Sun Jun 07 12:17:51 UTC 2026","passed","Sun Jun 07 12:17:57 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","13095","userCantDepositAccountWithoutAmountTest()","","Sun Jun 07 12:16:46 UTC 2026","passed","Sun Jun 07 12:16:59 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAmountTest"
"","2234","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 12:18:39 UTC 2026","passed","Sun Jun 07 12:18:41 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","3242","userCantDepositToDiffAccount()","","Sun Jun 07 12:18:14 UTC 2026","passed","Sun Jun 07 12:18:17 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToDiffAccount"
