"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2526","userCanLoginWithCorrectDataTest()","","Mon Jun 08 06:45:44 UTC 2026","passed","Mon Jun 08 06:45:46 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","571","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 06:47:31 UTC 2026","passed","Mon Jun 08 06:47:32 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","49","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:47:36 UTC 2026","passed","Mon Jun 08 06:47:36 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","2006","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:46:49 UTC 2026","passed","Mon Jun 08 06:46:51 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2190","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:46:44 UTC 2026","passed","Mon Jun 08 06:46:47 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","3755","userCanTransferMinSumTest()","","Mon Jun 08 06:47:26 UTC 2026","passed","Mon Jun 08 06:47:29 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMinSumTest"
"Покрытие Swagger Coverage: 401 Unauthorized для customer/accounts","26","unauthorizedCustomerAccountsError()","","Mon Jun 08 06:47:37 UTC 2026","passed","Mon Jun 08 06:47:37 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedCustomerAccountsError"
"","343","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 06:47:30 UTC 2026","passed","Mon Jun 08 06:47:30 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","2073","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:46:42 UTC 2026","passed","Mon Jun 08 06:46:44 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","3565","testTransferWithFraudCheckForbidden()","","Mon Jun 08 06:46:13 UTC 2026","passed","Mon Jun 08 06:46:17 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckForbidden"
"","3269","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:47:15 UTC 2026","passed","Mon Jun 08 06:47:18 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"Покрытие Swagger Coverage: 403 Unauthorized для POST /users","1203","forbiddenPostUsersError()","","Mon Jun 08 06:47:33 UTC 2026","passed","Mon Jun 08 06:47:34 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenPostUsersError"
"","2053","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:46:51 UTC 2026","passed","Mon Jun 08 06:46:53 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2129","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:46:53 UTC 2026","passed","Mon Jun 08 06:46:55 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","6127","testTransferWithFraudCheck()","","Mon Jun 08 06:46:00 UTC 2026","passed","Mon Jun 08 06:46:06 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","7272","tearDownBackendData()","","Mon Jun 08 06:45:52 UTC 2026","passed","Mon Jun 08 06:46:00 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
