"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3165","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:28 UTC 2026","passed","Mon Jun 08 07:32:31 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2056","userCantLoginWithIvalidDataTest()","","Mon Jun 08 07:31:19 UTC 2026","passed","Mon Jun 08 07:31:22 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCantLoginWithIvalidDataTest"
"","4958","userCantChangeNameWithOneWordTest()","","Mon Jun 08 07:31:06 UTC 2026","passed","Mon Jun 08 07:31:11 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"Покрытие Swagger Coverage: 403 Unauthorized для POST /users","1179","forbiddenPostUsersError()","","Mon Jun 08 07:33:09 UTC 2026","passed","Mon Jun 08 07:33:10 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenPostUsersError"
"Покрытие Swagger Coverage: 401 Unauthorized для customer/accounts","33","unauthorizedCustomerAccountsError()","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedCustomerAccountsError"
"","905","userCanLoginTest()","","Mon Jun 08 07:33:11 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanLoginTest"
"","4484","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:51 UTC 2026","passed","Mon Jun 08 07:32:56 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","4011","userCanTransferMaxSumTest()","","Mon Jun 08 07:32:42 UTC 2026","passed","Mon Jun 08 07:32:46 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMaxSumTest"
"Покрытие Swagger Coverage: 403 Forbidden для /transfer","1934","forbiddenTransferError()","","Mon Jun 08 07:32:46 UTC 2026","passed","Mon Jun 08 07:32:48 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","forbiddenTransferError"
"","4773","userCantChangeNameWithoutEnterNameTest()","","Mon Jun 08 07:30:54 UTC 2026","passed","Mon Jun 08 07:30:59 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /deposit","61","unauthorizedDepositError()","","Mon Jun 08 07:32:01 UTC 2026","passed","Mon Jun 08 07:32:01 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","unauthorizedDepositError"
"","339","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:07 UTC 2026","passed","Mon Jun 08 07:33:07 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","1983","userCanDepositMinSumAccountTest()","","Mon Jun 08 07:32:04 UTC 2026","passed","Mon Jun 08 07:32:06 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"Покрытие Swagger Coverage: 401 Unauthorized для POST /users","24","unauthorizedPostUsersError()","","Mon Jun 08 07:33:08 UTC 2026","passed","Mon Jun 08 07:33:08 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedPostUsersError"
"","1535","userCanCreateAccountTest()","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:14 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","321","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:07 UTC 2026","passed","Mon Jun 08 07:33:07 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","7116","tearDownBackendData()","","Mon Jun 08 07:31:29 UTC 2026","passed","Mon Jun 08 07:31:36 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"Покрытие Swagger Coverage: 401 Unauthorized для POST /accounts","25","unauthorizedPostAccountsError()","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedPostAccountsError"
"","4137","testTransferWithFraudotricCheck()","","Mon Jun 08 07:31:42 UTC 2026","passed","Mon Jun 08 07:31:46 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudotricCheck"
"","3633","userCanTransferMoneyYourselfTest()","","Mon Jun 08 07:32:38 UTC 2026","passed","Mon Jun 08 07:32:42 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyYourselfTest"
"","3313","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:59 UTC 2026","passed","Mon Jun 08 07:33:02 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"Покрытие Swagger Coverage: 401 Unauthorized для GET /users","38","unauthorizedGetUsersError()","","Mon Jun 08 07:33:06 UTC 2026","passed","Mon Jun 08 07:33:06 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedGetUsersError"
"","2024","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:10 UTC 2026","passed","Mon Jun 08 07:32:12 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","4393","adminCanCreateUserTest()","","Mon Jun 08 07:31:15 UTC 2026","passed","Mon Jun 08 07:31:19 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","3338","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:56 UTC 2026","passed","Mon Jun 08 07:32:59 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","2116","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:21 UTC 2026","passed","Mon Jun 08 07:32:23 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","42","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","4246","userCantDepositToDiffAccount()","","Mon Jun 08 07:31:57 UTC 2026","passed","Mon Jun 08 07:32:01 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToDiffAccount"
"","2122","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:15 UTC 2026","passed","Mon Jun 08 07:32:17 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2244","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:23 UTC 2026","passed","Mon Jun 08 07:32:25 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","5829","testTransferWithFraudCheck()","","Mon Jun 08 07:31:37 UTC 2026","passed","Mon Jun 08 07:31:42 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","2259","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:31 UTC 2026","passed","Mon Jun 08 07:32:33 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","1054","adminCanCreateUserTest()","","Mon Jun 08 07:33:10 UTC 2026","passed","Mon Jun 08 07:33:11 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserTest"
"Покрытие Swagger Coverage: 401 Unauthorized для GET /accounts","163","unauthorizedAccountsError()","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedAccountsError"
"","2062","adminCanLoginWithCorrectDataTest()","","Mon Jun 08 07:31:24 UTC 2026","passed","Mon Jun 08 07:31:26 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","388","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:06 UTC 2026","passed","Mon Jun 08 07:33:06 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","2153","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:19 UTC 2026","passed","Mon Jun 08 07:32:21 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","39","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","3233","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:48 UTC 2026","passed","Mon Jun 08 07:32:51 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","358","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:06 UTC 2026","passed","Mon Jun 08 07:33:07 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","5149","userCanTransferMoneyDifferentUserTest()","","Mon Jun 08 07:32:33 UTC 2026","passed","Mon Jun 08 07:32:38 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest"
"","1664","userCantDepositToNonExistAccount()","","Mon Jun 08 07:31:53 UTC 2026","passed","Mon Jun 08 07:31:55 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToNonExistAccount"
"","3449","testTransferWithFraudCheckForbidden()","","Mon Jun 08 07:31:50 UTC 2026","passed","Mon Jun 08 07:31:53 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckForbidden"
"","3588","userCanTransferMinSumTest()","","Mon Jun 08 07:33:02 UTC 2026","passed","Mon Jun 08 07:33:06 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMinSumTest"
"","2547","userCanDepositAccountTest()","","Mon Jun 08 07:32:01 UTC 2026","passed","Mon Jun 08 07:32:04 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","38","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","2111","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:25 UTC 2026","passed","Mon Jun 08 07:32:28 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","4220","adminCannotCreateUserWithInvalidData()","","Mon Jun 08 07:31:11 UTC 2026","passed","Mon Jun 08 07:31:15 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","2351","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:06 UTC 2026","passed","Mon Jun 08 07:32:08 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","3235","userCanCreateAccountTest()","","Mon Jun 08 07:31:26 UTC 2026","passed","Mon Jun 08 07:31:29 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"Покрытие Swagger Coverage: 403 Unauthorized для GET /users","1208","forbiddenGetUsersError()","","Mon Jun 08 07:33:08 UTC 2026","passed","Mon Jun 08 07:33:09 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","forbiddenGetUsersError"
"","2525","userCanLoginWithCorrectDataTest()","","Mon Jun 08 07:31:22 UTC 2026","passed","Mon Jun 08 07:31:24 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","2110","userCanDepositMaxSumAccountTest()","","Mon Jun 08 07:31:55 UTC 2026","passed","Mon Jun 08 07:31:57 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","14415","userCantDepositAccountWithoutAmountTest()","","Mon Jun 08 07:30:30 UTC 2026","passed","Mon Jun 08 07:30:45 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAmountTest"
"","2599","userCanChangeNameTest()","","Mon Jun 08 07:32:12 UTC 2026","passed","Mon Jun 08 07:32:15 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","2153","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:32:17 UTC 2026","passed","Mon Jun 08 07:32:19 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","3138","testTransferWithFraudCheckUnathorized()","","Mon Jun 08 07:31:46 UTC 2026","passed","Mon Jun 08 07:31:50 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckUnathorized"
"","36","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:12 UTC 2026","passed","Mon Jun 08 07:33:12 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","6030","userCanDepositAccountTest()","","Mon Jun 08 07:30:48 UTC 2026","passed","Mon Jun 08 07:30:54 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCanDepositAccountTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","31","unauthorizedTransferError()","","Mon Jun 08 07:32:42 UTC 2026","passed","Mon Jun 08 07:32:42 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","6701","userCanChangeNameTest()","","Mon Jun 08 07:30:59 UTC 2026","passed","Mon Jun 08 07:31:06 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","1948","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:32:08 UTC 2026","passed","Mon Jun 08 07:32:10 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","323","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:33:07 UTC 2026","passed","Mon Jun 08 07:33:08 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","3465","userCantDepositAccountWithoutAccountTest()","","Mon Jun 08 07:30:45 UTC 2026","passed","Mon Jun 08 07:30:48 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAccountTest"
