"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1990","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:19:58 UTC 2026","passed","Mon Jun 08 07:20:00 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","1961","userCanDepositAccountTest()","","Mon Jun 08 07:19:44 UTC 2026","passed","Mon Jun 08 07:19:46 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","3725","userCanTransferMaxSumTest()","","Mon Jun 08 07:20:23 UTC 2026","passed","Mon Jun 08 07:20:27 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMaxSumTest"
"","3995","adminCannotCreateUserWithInvalidData()","","Mon Jun 08 07:19:07 UTC 2026","passed","Mon Jun 08 07:19:11 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidData"
"Покрытие Swagger Coverage: 401 Unauthorized для /deposit","70","unauthorizedDepositError()","","Mon Jun 08 07:19:44 UTC 2026","passed","Mon Jun 08 07:19:44 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","unauthorizedDepositError"
"Покрытие Swagger Coverage: 403 Forbidden для /transfer","1793","forbiddenTransferError()","","Mon Jun 08 07:20:27 UTC 2026","passed","Mon Jun 08 07:20:29 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","forbiddenTransferError"
"","1942","userCanDepositMinSumAccountTest()","","Mon Jun 08 07:19:46 UTC 2026","passed","Mon Jun 08 07:19:48 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"","2003","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:20:10 UTC 2026","passed","Mon Jun 08 07:20:12 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","50","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:20:49 UTC 2026","passed","Mon Jun 08 07:20:49 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","1530","adminCanCreateUserTest()","","Mon Jun 08 07:20:46 UTC 2026","passed","Mon Jun 08 07:20:48 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserTest"
"","295","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:20:45 UTC 2026","passed","Mon Jun 08 07:20:45 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","5679","userCantChangeNameWithOneWordTest()","","Mon Jun 08 07:19:02 UTC 2026","passed","Mon Jun 08 07:19:07 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"","296","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:20:45 UTC 2026","passed","Mon Jun 08 07:20:46 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","1480","userCanCreateAccountTest()","","Mon Jun 08 07:20:49 UTC 2026","passed","Mon Jun 08 07:20:50 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","2059","userCantLoginWithIvalidDataTest()","","Mon Jun 08 07:19:16 UTC 2026","passed","Mon Jun 08 07:19:18 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCantLoginWithIvalidDataTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","47","unauthorizedTransferError()","","Mon Jun 08 07:20:23 UTC 2026","passed","Mon Jun 08 07:20:23 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","53","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:20:49 UTC 2026","passed","Mon Jun 08 07:20:49 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","2308","userCanChangeNameTest()","","Mon Jun 08 07:19:56 UTC 2026","passed","Mon Jun 08 07:19:58 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
