"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:10:52 UTC 2026","passed","Mon Jun 08 07:10:52 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","3083","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 07:10:42 UTC 2026","passed","Mon Jun 08 07:10:45 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","6093","tearDownBackendData()","","Mon Jun 08 07:09:29 UTC 2026","passed","Mon Jun 08 07:09:35 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"","5063","userCanTransferMoneyDifferentUserTest()","","Mon Jun 08 07:10:17 UTC 2026","passed","Mon Jun 08 07:10:23 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest"
"","306","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:10:50 UTC 2026","passed","Mon Jun 08 07:10:50 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","5704","userCanDepositAccountTest()","","Mon Jun 08 07:08:46 UTC 2026","passed","Mon Jun 08 07:08:51 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","2060","userCanDepositMinSumAccountTest()","","Mon Jun 08 07:09:50 UTC 2026","passed","Mon Jun 08 07:09:52 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"","2414","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:10:03 UTC 2026","passed","Mon Jun 08 07:10:05 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","965","adminCanCreateUserTest()","","Mon Jun 08 07:10:51 UTC 2026","passed","Mon Jun 08 07:10:51 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserTest"
"","1880","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:10:08 UTC 2026","passed","Mon Jun 08 07:10:09 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2574","userCanLoginWithCorrectDataTest()","","Mon Jun 08 07:09:21 UTC 2026","passed","Mon Jun 08 07:09:23 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1974","userCanDepositMaxSumAccountTest()","","Mon Jun 08 07:09:43 UTC 2026","passed","Mon Jun 08 07:09:45 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","4878","userCantChangeNameWithoutEnterNameTest()","","Mon Jun 08 07:08:51 UTC 2026","passed","Mon Jun 08 07:08:56 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest"
"","1930","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 07:10:09 UTC 2026","passed","Mon Jun 08 07:10:11 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","52","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 07:10:53 UTC 2026","passed","Mon Jun 08 07:10:53 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","2019","userCanDepositAccountTest()","","Mon Jun 08 07:09:48 UTC 2026","passed","Mon Jun 08 07:09:50 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","298","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 07:10:50 UTC 2026","passed","Mon Jun 08 07:10:50 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
