"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2469","userCanLoginWithCorrectDataTest()","","Sun Jun 07 14:25:00 UTC 2026","passed","Sun Jun 07 14:25:02 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","3808","adminCannotCreateUserWithInvalidData()","","Sun Jun 07 14:24:49 UTC 2026","passed","Sun Jun 07 14:24:53 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","4996","userCanTransferMoneyDifferentUserTest()","","Sun Jun 07 14:26:09 UTC 2026","passed","Sun Jun 07 14:26:14 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest"
"","4557","userCantChangeNameWithOneWordTest()","","Sun Jun 07 14:24:45 UTC 2026","passed","Sun Jun 07 14:24:49 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"","4515","adminCanCreateUserTest()","","Sun Jun 07 14:24:53 UTC 2026","passed","Sun Jun 07 14:24:58 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","42","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 14:26:47 UTC 2026","passed","Sun Jun 07 14:26:47 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","3031","testTransferWithFraudCheckUnathorized()","","Sun Jun 07 14:25:25 UTC 2026","passed","Sun Jun 07 14:25:28 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckUnathorized"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","35","unauthorizedTransferError()","","Sun Jun 07 14:26:18 UTC 2026","passed","Sun Jun 07 14:26:18 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","2018","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 14:25:55 UTC 2026","passed","Sun Jun 07 14:25:57 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","4129","testTransferWithFraudotricCheck()","","Sun Jun 07 14:25:21 UTC 2026","passed","Sun Jun 07 14:25:25 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudotricCheck"
