"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7236","userCanTransferMoneyDifferentUserTest()","","Mon Jun 08 06:56:55 UTC 2026","passed","Mon Jun 08 06:57:02 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest"
"","38","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:57:35 UTC 2026","passed","Mon Jun 08 06:57:36 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","4597","userCantChangeNameWithOneWordTest()","","Mon Jun 08 06:55:41 UTC 2026","passed","Mon Jun 08 06:55:45 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"","3304","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:57:21 UTC 2026","passed","Mon Jun 08 06:57:25 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","2123","userCantLoginWithIvalidDataTest()","","Mon Jun 08 06:55:54 UTC 2026","passed","Mon Jun 08 06:55:56 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCantLoginWithIvalidDataTest"
"","323","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Mon Jun 08 06:57:33 UTC 2026","passed","Mon Jun 08 06:57:33 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","5956","userCanTransferMaxSumTest()","","Mon Jun 08 06:57:07 UTC 2026","passed","Mon Jun 08 06:57:13 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMaxSumTest"
"","4439","userCanTransferMoneyYourselfTest()","","Mon Jun 08 06:57:02 UTC 2026","passed","Mon Jun 08 06:57:07 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyYourselfTest"
"","3649","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:56:27 UTC 2026","passed","Mon Jun 08 06:56:31 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","5726","userCanDepositAccountTest()","","Mon Jun 08 06:55:23 UTC 2026","passed","Mon Jun 08 06:55:29 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","2318","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:56:31 UTC 2026","passed","Mon Jun 08 06:56:33 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","4470","adminCanCreateUserTest()","","Mon Jun 08 06:55:49 UTC 2026","passed","Mon Jun 08 06:55:54 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","70","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:57:35 UTC 2026","passed","Mon Jun 08 06:57:35 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","45","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:57:35 UTC 2026","passed","Mon Jun 08 06:57:35 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"Покрытие Swagger Coverage: 401 Unauthorized для GET /users","22","unauthorizedGetUsersError()","","Mon Jun 08 06:57:32 UTC 2026","passed","Mon Jun 08 06:57:32 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedGetUsersError"
"","64","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:57:35 UTC 2026","passed","Mon Jun 08 06:57:35 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /deposit","82","unauthorizedDepositError()","","Mon Jun 08 06:56:23 UTC 2026","passed","Mon Jun 08 06:56:23 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","unauthorizedDepositError"
"","2082","userCanDepositMinSumAccountTest()","","Mon Jun 08 06:56:25 UTC 2026","passed","Mon Jun 08 06:56:27 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"","2486","userCanLoginWithCorrectDataTest()","","Mon Jun 08 06:55:56 UTC 2026","passed","Mon Jun 08 06:55:58 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","42","unauthorizedTransferError()","","Mon Jun 08 06:57:07 UTC 2026","passed","Mon Jun 08 06:57:07 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","6159","userCanChangeNameTest()","","Mon Jun 08 06:55:35 UTC 2026","passed","Mon Jun 08 06:55:41 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"Покрытие Swagger Coverage: 403 Forbidden для /transfer","2012","forbiddenTransferError()","","Mon Jun 08 06:57:13 UTC 2026","passed","Mon Jun 08 06:57:15 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","forbiddenTransferError"
"","5775","userCantChangeNameWithoutEnterNameTest()","","Mon Jun 08 06:55:29 UTC 2026","passed","Mon Jun 08 06:55:35 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest"
"","2120","userCanDepositMaxSumAccountTest()","","Mon Jun 08 06:56:18 UTC 2026","passed","Mon Jun 08 06:56:20 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","6862","tearDownBackendData()","","Mon Jun 08 06:56:04 UTC 2026","passed","Mon Jun 08 06:56:11 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"","2889","userCanChangeNameTest()","","Mon Jun 08 06:56:35 UTC 2026","passed","Mon Jun 08 06:56:38 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","2118","negativeTest(String, String, String) Негативные тесты","","Mon Jun 08 06:56:53 UTC 2026","passed","Mon Jun 08 06:56:55 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","3307","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:57:25 UTC 2026","passed","Mon Jun 08 06:57:28 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","3153","userCantDepositToDiffAccount()","","Mon Jun 08 06:56:20 UTC 2026","passed","Mon Jun 08 06:56:23 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositToDiffAccount"
