"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:40 UTC 2026","passed","Sun Jun 07 13:05:41 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"Покрытие Swagger Coverage: 401 Unauthorized для customer/accounts","35","unauthorizedCustomerAccountsError()","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedCustomerAccountsError"
"","3497","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:05:27 UTC 2026","passed","Sun Jun 07 13:05:31 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","3813","testTransferWithFraudotricCheck()","","Sun Jun 07 13:04:20 UTC 2026","passed","Sun Jun 07 13:04:24 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudotricCheck"
"","5663","userCanDepositAccountTest()","","Sun Jun 07 13:03:27 UTC 2026","passed","Sun Jun 07 13:03:33 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","4104","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:05:23 UTC 2026","passed","Sun Jun 07 13:05:27 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","303","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:41 UTC 2026","passed","Sun Jun 07 13:05:41 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","41","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","3047","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:05:34 UTC 2026","passed","Sun Jun 07 13:05:37 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","4491","adminCanCreateUserTest()","","Sun Jun 07 13:03:53 UTC 2026","passed","Sun Jun 07 13:03:58 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"Покрытие Swagger Coverage: 401 Unauthorized для GET /accounts","182","unauthorizedAccountsError()","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","unauthorizedAccountsError"
"","3955","testTransferWithFraudCheckUnathorized()","","Sun Jun 07 13:04:24 UTC 2026","passed","Sun Jun 07 13:04:28 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckUnathorized"
"","857","userCanLoginTest()","","Sun Jun 07 13:05:45 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanLoginTest"
"","4744","userCantChangeNameWithOneWordTest()","","Sun Jun 07 13:03:45 UTC 2026","passed","Sun Jun 07 13:03:49 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"","2918","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:05:31 UTC 2026","passed","Sun Jun 07 13:05:34 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","39","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"Покрытие Swagger Coverage: 401 Unauthorized для GET /users","41","unauthorizedGetUsersError()","","Sun Jun 07 13:05:40 UTC 2026","passed","Sun Jun 07 13:05:40 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","unauthorizedGetUsersError"
"","2580","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 13:04:57 UTC 2026","passed","Sun Jun 07 13:04:59 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","63","unauthorizedTransferError()","","Sun Jun 07 13:05:17 UTC 2026","passed","Sun Jun 07 13:05:17 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","2118","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Sun Jun 07 13:04:42 UTC 2026","passed","Sun Jun 07 13:04:44 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
