"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","userCantLoginTest(String, String, String, String) Негативные тесты","","Mon Jun 08 06:16:07 UTC 2026","passed","Mon Jun 08 06:16:07 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","1138","adminCanCreateUserTest()","","Mon Jun 08 06:16:05 UTC 2026","passed","Mon Jun 08 06:16:06 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserTest"
"","4708","userCantChangeNameWithOneWordTest()","","Mon Jun 08 06:13:52 UTC 2026","passed","Mon Jun 08 06:13:57 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest"
"","2004","adminCanLoginWithCorrectDataTest()","","Mon Jun 08 06:14:10 UTC 2026","passed","Mon Jun 08 06:14:12 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","2256","userCanDepositAccountTest()","","Mon Jun 08 06:14:51 UTC 2026","passed","Mon Jun 08 06:14:53 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositAccountTest"
"","2604","userCanLoginWithCorrectDataTest()","","Mon Jun 08 06:14:08 UTC 2026","passed","Mon Jun 08 06:14:10 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"Покрытие Swagger Coverage: 401 Unauthorized для /transfer","36","unauthorizedTransferError()","","Mon Jun 08 06:15:34 UTC 2026","passed","Mon Jun 08 06:15:34 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","unauthorizedTransferError"
"","6829","tearDownBackendData()","","Mon Jun 08 06:14:17 UTC 2026","passed","Mon Jun 08 06:14:24 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"","2147","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:14:58 UTC 2026","passed","Mon Jun 08 06:15:00 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","6440","userCanChangeNameTest()","","Mon Jun 08 06:13:46 UTC 2026","passed","Mon Jun 08 06:13:52 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","5107","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:15:41 UTC 2026","passed","Mon Jun 08 06:15:46 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest"
"","2471","userCantDepositAccountTest(Double, String, String) Негативные тесты","","Mon Jun 08 06:14:55 UTC 2026","passed","Mon Jun 08 06:14:58 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCantDepositAccountTest"
"","3466","testTransferWithFraudCheckUnathorized()","","Mon Jun 08 06:14:35 UTC 2026","passed","Mon Jun 08 06:14:38 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheckUnathorized"
"","6022","testTransferWithFraudCheck()","","Mon Jun 08 06:14:24 UTC 2026","passed","Mon Jun 08 06:14:30 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
