"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2774","userCanChangeNameTest()","","Fri Jun 05 12:08:13 UTC 2026","passed","Fri Jun 05 12:08:16 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","5726","userCanTransferMoneyYourselfTest()","","Fri Jun 05 12:08:41 UTC 2026","passed","Fri Jun 05 12:08:46 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","userCanTransferMoneyYourselfTest"
"","358","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Fri Jun 05 12:09:09 UTC 2026","passed","Fri Jun 05 12:09:09 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","364","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Fri Jun 05 12:09:09 UTC 2026","passed","Fri Jun 05 12:09:10 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","2371","negativeTest(String, String, String) Негативные тесты","","Fri Jun 05 12:08:30 UTC 2026","passed","Fri Jun 05 12:08:32 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","2263","userCanDepositMinSumAccountTest()","","Fri Jun 05 12:08:03 UTC 2026","passed","Fri Jun 05 12:08:05 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest"
"","397","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты","","Fri Jun 05 12:09:10 UTC 2026","passed","Fri Jun 05 12:09:10 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCantCreateUserTest"
"","6146","testTransferWithFraudCheck()","","Fri Jun 05 12:07:47 UTC 2026","passed","Fri Jun 05 12:07:53 UTC 2026","","api.TransferWithFraudCheckTest","api.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","2230","userCanDepositMaxSumAccountTest()","","Fri Jun 05 12:07:55 UTC 2026","passed","Fri Jun 05 12:07:57 UTC 2026","","api.iteration2.DepositAccountTest","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest"
"","2151","userCantLoginWithIvalidDataTest()","","Fri Jun 05 12:07:29 UTC 2026","passed","Fri Jun 05 12:07:31 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCantLoginWithIvalidDataTest"
